epoch,loss 16,val loss 16,loss 3,val loss 3,loss 8,val loss 8
0,2.107288429,1.939948404,1.988511937,1.754003084,2.014177856,1.815129876
1,1.84310607,1.766991615,1.666016678,1.588912642,1.727069863,1.65401572
2,1.708605668,1.66731782,1.538503167,1.495408022,1.602681507,1.562405086
3,1.623113067,1.598994517,1.456737158,1.43093102,1.522781544,1.497887444
4,1.560964176,1.547289443,1.396884247,1.38258512,1.463488668,1.448250818
5,1.512180585,1.505809116,1.350133929,1.344511962,1.416444155,1.408254337
6,1.472068875,1.471290302,1.312077865,1.313553917,1.377638165,1.37505765
7,1.438069533,1.441833985,1.280177959,1.287737381,1.344777685,1.346914065
8,1.408626005,1.416236198,1.25282846,1.265813518,1.316406344,1.322663212
9,1.38271238,1.393679726,1.228955524,1.246889806,1.291536833,1.301506209
10,1.359617099,1.373583174,1.207813374,1.230358493,1.269462393,1.282823682
11,1.338819938,1.355510378,1.188861024,1.215747821,1.249667125,1.26619606
12,1.319933087,1.339140117,1.171700652,1.202743661,1.231758416,1.251265252
13,1.30265582,1.3242154,1.156021786,1.191057122,1.215425936,1.237762153
14,1.286753768,1.310529375,1.141594357,1.180483103,1.200432355,1.225487065
15,1.272035881,1.297919762,1.128223621,1.170870733,1.186586213,1.214257407
16,1.258351131,1.286249793,1.115773943,1.162068999,1.173732131,1.203948367
17,1.245570989,1.275410366,1.104116131,1.153985381,1.161739144,1.194427669
18,1.233591681,1.26531142,1.093156857,1.146518528,1.150502943,1.18560456
19,1.222324453,1.255864775,1.082811802,1.139593589,1.139937221,1.177403915
20,1.21169323,1.247011733,1.07301244,1.133168066,1.129963307,1.169743514
21,1.201634496,1.238687348,1.06370353,1.127175474,1.120520567,1.162582326
22,1.192090869,1.230849385,1.05483267,1.121583593,1.111555476,1.155869126
23,1.183015609,1.223443294,1.046361589,1.116336644,1.103020351,1.149553943
24,1.174366531,1.216438854,1.038255819,1.111399484,1.094872819,1.143590784
25,1.166105298,1.209803033,1.030475442,1.106745434,1.087082092,1.137968838
26,1.158200743,1.203499913,1.022999332,1.102376711,1.079614909,1.132633483
27,1.150623715,1.197504532,1.015801873,1.098230326,1.072443061,1.127574587
28,1.143347204,1.191794038,1.008862345,1.094317758,1.065545987,1.122768724
29,1.136351717,1.186351287,1.002157134,1.090590835,1.058901158,1.118197727
30,1.129613696,1.181150901,0.995677129,1.08707068,1.052488869,1.113842094
